City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okhotsk,59.3833,143.3,16.15,79,100,3.33,RU,1690325104
1,kodiak,57.79,-152.4072,15.73,72,0,3.09,US,1690325104
2,ushuaia,-54.8,-68.3,0.81,60,20,3.09,AR,1690324981
3,sainte-marie,-20.8968,55.5496,20.09,82,0,3.09,RE,1690325105
4,blackmans bay,-43.0167,147.3167,13.16,68,100,5.26,AU,1690325105
5,sarikei,2.1167,111.5167,23.94,94,44,0.94,MY,1690325105
6,cabo san lucas,22.8909,-109.9124,34.78,51,75,3.6,MX,1690324699
7,adamstown,-25.066,-130.1015,22.76,89,100,16.49,PN,1690325106
8,waitangi,-43.9535,-176.5597,9.9,98,100,0.89,NZ,1690325106
9,mar del plata,-38.0023,-57.5575,11.72,94,0,6.71,AR,1690325106
10,banjarmasin,-3.3244,114.591,21.08,92,65,1.3,ID,1690325106
11,port-aux-francais,-49.35,70.2167,3.66,81,97,9.09,TF,1690325106
12,west island,-12.1568,96.8225,24.99,69,100,9.77,CC,1690325107
13,dondo,-19.6094,34.7431,21.73,87,58,3.54,MZ,1690325107
14,tiksi,71.6872,128.8694,5.63,73,71,1.7,RU,1690325107
15,lihue,21.9789,-159.3672,30.77,65,20,6.69,US,1690324907
16,salalah,17.0151,54.0924,26.05,94,100,4.12,OM,1690325108
17,iqaluit,63.7506,-68.5145,6.85,81,100,2.06,CA,1690325108
18,san patricio,28.017,-97.5169,36.4,42,11,7.54,US,1690325108
19,anadyr,64.75,177.4833,13.28,87,75,3.58,RU,1690325108
20,dryden,49.7833,-92.7503,20.16,77,100,5.14,CA,1690324971
21,melfi,40.9965,15.6514,21.57,88,19,3.23,IT,1690325109
22,grytviken,-54.2811,-36.5092,-3.33,81,80,4.74,GS,1690325109
23,geraldton,-28.7667,114.6,14.23,72,30,5.66,AU,1690325109
24,sitka,57.0531,-135.33,16.94,72,100,3.6,US,1690325109
25,ribeira grande,38.5167,-28.7,20.99,81,7,2.68,PT,1690325110
26,namibe,-15.1961,12.1522,16.09,85,91,4.31,AO,1690325110
27,kavaratti,10.5669,72.642,28.11,73,98,7.54,IN,1690325110
28,taro,-8.3862,115.28,21.03,96,86,1.18,ID,1690325110
29,callao,-12.0667,-77.15,20.4,73,100,6.17,PE,1690325110
30,aripuana,-9.1667,-60.6333,26.56,44,26,0.45,BR,1690325111
31,weno,7.4515,151.8468,26.97,89,100,2.06,FM,1690325111
32,sejong,36.4817,127.2871,24.24,86,100,0.73,KR,1690325111
33,leesville,31.1435,-93.261,37.24,32,0,2.06,US,1690325111
34,lompoc,34.6391,-120.4579,29.45,56,20,3.6,US,1690325095
35,avarua,-21.2078,-159.775,24.03,60,75,3.09,CK,1690325112
36,bilibino,68.0546,166.4372,10.93,94,100,0.95,RU,1690325112
37,enewetak,11.3474,162.3373,28.53,78,65,7.07,MH,1690325112
38,edinburgh of the seven seas,-37.0676,-12.3116,11.48,63,100,7.94,SH,1690325113
39,puerto natales,-51.7236,-72.4875,-2.34,88,23,2.76,CL,1690325113
40,bredasdorp,-34.5322,20.0403,7.39,74,1,2.26,ZA,1690325113
41,tazovsky,67.4667,78.7,12.28,77,32,4.32,RU,1690325113
42,tura,25.5198,90.2201,23.39,95,96,2.85,IN,1690325113
43,olonkinbyen,70.9221,-8.7187,5.49,84,100,3.83,SJ,1690325114
44,tobruk,32.0836,23.9764,27.13,80,0,6.05,LY,1690325114
45,shingu,33.7333,135.9833,28.94,70,0,0.4,JP,1690325114
46,fortuna,40.5982,-124.1573,23.29,69,75,6.69,US,1690324576
47,kaedi,16.1465,-13.5047,36.93,38,87,2.89,MR,1690325114
48,alofi,-19.0595,-169.9187,23.94,64,36,2.06,NU,1690325115
49,albany,42.6001,-73.9662,25.74,81,96,0.45,US,1690324620
50,udachny,66.4167,112.4,16.36,76,100,3.17,RU,1690325115
51,shivpuri,25.4333,77.65,28.49,72,91,1.27,IN,1690325115
52,denison,33.7557,-96.5367,38.08,43,2,2.68,US,1690324584
53,kuanda,56.3161,116.0806,20.85,67,11,0.24,RU,1690325116
54,saipan,15.1355,145.701,29.39,100,40,5.14,MP,1690325023
55,nar'yan-mar,67.6713,53.087,13.6,88,16,2.74,RU,1690325116
56,nur-sultan,51.1801,71.446,13.97,67,0,3.0,KZ,1690325117
57,punta arenas,-53.15,-70.9167,0.1,81,87,4.96,CL,1690324699
58,dire dawa,9.5931,41.8661,22.24,65,95,9.16,ET,1690325117
59,timimoun,29.2639,0.231,39.21,6,0,4.12,DZ,1690325117
60,pyetrykaw,52.1289,28.4921,19.06,95,98,2.93,BY,1690325117
61,crane,31.3974,-102.3501,36.81,18,34,7.38,US,1690325118
62,stanley,54.868,-1.6985,12.06,93,75,1.03,GB,1690325118
63,kutum,14.2,24.6667,29.37,32,100,5.62,SD,1690325118
64,howrah,22.5892,88.3103,28.0,89,40,2.57,IN,1690325118
